episode,step,hour,temperature,pressure,flow,pH,glucose,hematocrit,reward,action,done
1,0,0.0,35.045746,80.0,0.7334947,7.35,5.2976456,13.75,0.0,-1,False
1,1,1.0,36.05,85.0,1.06,7.36,5.28,12.75,15.498039215686275,9400,False
1,2,2.0,35.05,85.0,1.13,7.37,5.26,11.75,17.498039215686276,10100,False
1,3,3.0,36.05,80.0,1.13,7.4,7.1,10.75,22.498039215686276,7729,False
1,4,4.0,36.05,75.0,0.93,7.51,8.94,9.75,19.458823529411767,6612,False
1,5,5.0,35.05,75.0,1.0,7.42,10.78,8.75,23.458823529411767,1415,False
1,6,6.0,36.05,80.0,0.99,7.53,10.76,7.75,20.419607843137257,2749,False
1,7,7.0,37.05,80.0,1.05,7.67,10.74,6.75,-500.0,235,False
1,8,8.0,37.05,80.0,0.94,7.69,12.58,5.75,-500.0,6264,False
1,9,9.0,37.05,85.0,1.0,7.7,12.56,4.75,-500.0,15150,False
1,10,10.0,37.05,80.0,1.06,7.89,12.54,3.75,-500.0,15819,False
1,11,11.0,37.05,85.0,1.12,7.73,14.38,2.75,-500.0,11217,False
1,12,12.0,37.05,80.0,1.06,7.91,16.22,1.75,-500.0,6612,False
1,13,13.0,38.05,75.0,1.05,7.92,16.21,0.75,-500.0,7135,True
2,0,0.0,35.371147,80.0,0.96492,7.35,6.979176,13.75,0.0,-1,False
2,1,1.0,34.37,75.0,0.97,7.47,6.97,12.75,8.498039215686275,7775,False
2,2,2.0,34.37,70.0,0.9,7.6,8.81,11.75,10.458823529411765,7422,False
2,3,3.0,33.37,65.0,0.7,7.6,8.8,10.75,9.458823529411765,4544,True
3,0,0.0,35.303448,80.0,0.68507695,7.35,5.390117,13.75,0.0,-1,False
3,1,1.0,34.3,75.0,0.96,7.45,5.38,12.75,10.498039215686275,3482,False
3,2,2.0,34.3,75.0,0.96,7.58,5.37,11.75,7.458823529411765,12249,False
3,3,3.0,34.3,70.0,0.79,7.76,7.21,10.75,-500.0,6612,False
3,4,4.0,34.3,65.0,0.83,7.58,7.2,9.75,14.458823529411765,14514,False
3,5,5.0,35.3,60.0,0.64,7.61,9.04,8.75,-500.0,19312,False
3,6,6.0,36.3,55.0,0.62,7.63,10.87,7.75,-500.0,19312,False
3,7,7.0,36.3,50.0,0.63,7.54,10.85,6.75,-500.0,9060,False
3,8,8.0,37.3,45.0,0.68,7.56,12.68,5.75,-500.0,7729,False
3,9,9.0,36.3,45.0,0.64,7.69,12.67,4.75,-500.0,8012,False
3,10,10.0,35.3,50.0,0.68,7.59,14.51,3.75,-500.0,1013,False
3,11,11.0,36.3,45.0,0.51,7.73,16.35,2.75,-500.0,10420,False
3,12,12.0,36.3,40.0,0.5,7.92,16.33,1.75,-500.0,2292,False
3,13,13.0,36.3,35.0,0.5,7.95,16.31,0.75,-500.0,996,False
3,14,14.0,37.3,30.0,0.46,7.98,18.14,0.0,-500.0,14308,False
3,15,15.0,36.3,30.0,0.38,7.81,18.12,0.0,-500.0,17567,False
3,16,16.0,37.3,30.0,0.4,7.99,18.1,0.0,-500.0,241,False
3,17,17.0,37.3,30.0,0.36,8.01,18.08,0.0,-500.0,10365,False
3,18,18.0,36.3,35.0,0.39,8.01,18.07,0.0,-500.0,8690,False
3,19,19.0,35.3,30.0,0.32,7.86,19.91,0.0,-500.0,8387,False
3,20,20.0,36.3,30.0,0.43,8.05,19.89,0.0,-500.0,16273,False
3,21,21.0,37.3,30.0,0.46,8.05,21.73,0.0,-500.0,5137,False
3,22,22.0,37.3,30.0,0.46,7.88,21.71,0.0,-500.0,14481,False
3,23,23.0,37.3,30.0,0.4,7.77,21.69,0.0,-500.0,9060,False
3,24,24.0,38.3,30.0,0.49,7.68,21.67,0.0,-500.0,745,True
