episode,step,hour,temperature,pressure,flow,pH,glucose,hematocrit,reward,action,done
1,0,0.0,35.580975,80.0,50.0,7.35,6.316899,13.75,0.0,-1,False
1,1,1.0,35.58,80.0,0.86,7.28,8.15,12.75,10.498039215686275,4329,False
1,2,2.0,35.58,80.0,1.1,7.28,8.13,11.75,12.498039215686275,18846,False
1,3,3.0,36.58,80.0,1.17,7.36,8.11,10.75,19.498039215686276,964,False
1,4,4.0,35.58,75.0,0.91,7.29,8.09,9.75,-500.0,15407,False
1,5,5.0,36.58,75.0,0.86,7.29,9.92,8.75,-500.0,8695,False
1,6,6.0,36.58,75.0,1.09,7.29,9.9,7.75,-500.0,18846,False
1,7,7.0,36.58,75.0,1.09,7.29,9.88,6.75,-500.0,18846,False
1,8,8.0,37.58,75.0,1.16,7.37,9.86,5.75,-500.0,964,False
1,9,9.0,36.58,75.0,0.86,7.37,9.84,4.75,-500.0,5915,False
1,10,10.0,37.58,80.0,1.09,7.4,9.82,3.75,-500.0,2596,False
1,11,11.0,37.58,80.0,0.97,7.33,11.65,2.75,-500.0,4329,False
1,12,12.0,37.58,80.0,1.09,7.37,11.63,1.75,-500.0,9045,False
1,13,13.0,38.58,80.0,1.32,7.46,11.61,0.75,-500.0,964,False
1,14,14.0,38.58,85.0,1.4,7.58,13.44,0.0,-500.0,3288,False
1,15,15.0,38.58,85.0,1.4,7.59,13.42,0.0,-500.0,18846,False
1,16,16.0,39.58,90.0,1.25,7.62,15.25,0.0,-500.0,10480,False
1,17,17.0,40.0,95.0,1.36,7.64,17.07,0.0,-500.0,10480,False
1,18,18.0,39.0,95.0,1.61,7.65,17.05,0.0,-500.0,866,False
1,19,19.0,39.0,95.0,1.61,7.65,17.03,0.0,-500.0,18846,False
1,20,20.0,38.0,90.0,1.12,7.66,17.01,0.0,-500.0,4355,False
1,21,21.0,37.0,90.0,1.19,7.59,16.99,0.0,-500.0,470,False
1,22,22.0,37.0,90.0,1.35,7.59,16.97,0.0,-500.0,18846,False
1,23,23.0,37.0,90.0,1.34,7.6,16.95,0.0,-500.0,18846,False
1,24,24.0,37.0,90.0,1.05,7.52,18.77,0.0,-500.0,4329,True
2,0,0.0,36.799904,80.0,50.0,7.35,5.1384363,13.75,0.0,-1,False
2,1,1.0,35.8,75.0,0.82,7.36,5.12,12.75,12.498039215686275,4355,False
2,2,2.0,35.8,80.0,1.12,7.31,5.1,11.75,9.498039215686275,1038,False
2,3,3.0,34.8,75.0,0.87,7.26,5.08,10.75,6.4980392156862745,15407,False
2,4,4.0,34.8,75.0,0.99,7.26,5.07,9.75,-500.0,18846,False
2,5,5.0,34.8,80.0,0.83,7.26,5.06,8.75,-500.0,19524,False
2,6,6.0,34.8,80.0,1.05,7.26,5.05,7.75,-500.0,18846,False
2,7,7.0,35.8,85.0,0.93,7.29,6.88,6.75,-500.0,10480,False
2,8,8.0,36.8,90.0,1.04,7.32,8.71,5.75,-500.0,10480,False
2,9,9.0,35.8,90.0,1.1,7.29,8.69,4.75,-500.0,470,False
2,10,10.0,34.8,85.0,0.99,7.24,8.67,3.75,-500.0,15407,False
2,11,11.0,35.8,90.0,0.99,7.27,10.5,2.75,-500.0,10480,False
2,12,12.0,35.8,90.0,1.25,7.28,10.48,1.75,-500.0,18846,False
2,13,13.0,35.8,85.0,1.04,7.29,12.31,0.75,-500.0,2382,False
2,14,14.0,34.8,80.0,0.93,7.28,12.29,0.0,-500.0,15407,False
2,15,15.0,35.8,75.0,1.05,7.3,12.27,0.0,-500.0,16351,False
2,16,16.0,34.8,75.0,0.87,7.33,12.25,0.0,-500.0,470,False
2,17,17.0,34.8,80.0,1.05,7.38,14.08,0.0,-500.0,5313,False
2,18,18.0,33.8,75.0,0.74,7.39,14.06,0.0,-500.0,4355,False
2,19,19.0,32.8,70.0,0.66,7.4,14.04,0.0,-500.0,4355,False
2,20,20.0,31.8,70.0,0.7,7.37,14.02,0.0,-500.0,470,False
2,21,21.0,30.8,70.0,0.67,7.39,14.0,0.0,-500.0,470,False
2,22,22.0,30.8,70.0,0.76,7.4,13.98,0.0,-500.0,18846,False
2,23,23.0,30.8,75.0,0.82,7.41,13.96,0.0,-500.0,1038,False
2,24,24.0,31.8,80.0,0.8,7.47,15.78,0.0,-500.0,292,True
